expert_id,expert_slug,item_id,participant_id,task_id,stage,block,image_id,interpretability,spatial_specificity,temporal_action_specificity,executability,overall_precision,reconstructable
expert_01,xinxiangyang,I062,P011,T1_early_E04,T1,early,E04,7,6,7,6,6,1
expert_01,xinxiangyang,I063,P020,T3_transfer_C04,T3,transfer,C04,5,4,5,5,4,1
expert_01,xinxiangyang,I064,P008,T1_early_E04,T1,early,E04,6,6,6,6,6,1
expert_01,xinxiangyang,I065,P002,T1_middle_C04,T1,middle,C04,7,6,6,6,6,1
expert_01,xinxiangyang,I066,P010,T3_transfer_A02,T3,transfer,A02,6,5,6,5,5,1
expert_01,xinxiangyang,I067,P004,T1_early_E01,T1,early,E01,7,6,3,6,6,1
expert_01,xinxiangyang,I068,P014,T3_transfer_E02,T3,transfer,E02,5,2,6,4,4,1
expert_01,xinxiangyang,I069,P015,T1_early_C04,T1,early,C04,6,5,6,5,6,1
expert_01,xinxiangyang,I070,P006,T1_middle_E01,T1,middle,E01,5,4,5,4,5,1
expert_01,xinxiangyang,I071,P009,T1_early_D01,T1,early,D01,6,5,5,6,6,1
expert_01,xinxiangyang,I072,P002,T1_early_E05,T1,early,E05,6,5,6,6,6,1
expert_01,xinxiangyang,I073,P018,T3_transfer_C01,T3,transfer,C01,6,6,4,6,6,1
expert_01,xinxiangyang,I074,P007,T3_transfer_A05,T3,transfer,A05,6,4,6,5,5,1
expert_01,xinxiangyang,I075,P017,T2_middle_C03,T2,middle,C03,7,7,5,6,6,1
expert_01,xinxiangyang,I076,P010,T2_middle_D06,T2,middle,D06,7,7,6,6,7,1
expert_01,xinxiangyang,I077,P004,T2_middle_D02,T2,middle,D02,7,7,4,6,6,1
expert_01,xinxiangyang,I078,P019,T1_early_D04,T1,early,D04,6,5,6,5,5,1
expert_01,xinxiangyang,I079,P011,T3_transfer_D01,T3,transfer,D01,6,6,6,6,6,1
expert_01,xinxiangyang,I080,P014,T1_early_C02,T1,early,C02,5,4,5,4,4,1
expert_01,xinxiangyang,I081,P011,T1_early_C03,T1,early,C03,7,5,7,6,6,1
expert_01,xinxiangyang,I082,P012,T3_transfer_E04,T3,transfer,E04,7,7,6,7,7,1
expert_01,xinxiangyang,I083,P011,T2_middle_D02,T2,middle,D02,6,6,4,5,5,1
expert_01,xinxiangyang,I084,P005,T1_middle_A01,T1,middle,A01,6,6,6,6,6,1
expert_01,xinxiangyang,I085,P010,T1_early_C04,T1,early,C04,6,6,6,6,6,1
expert_01,xinxiangyang,I086,P008,T1_middle_E02,T1,middle,E02,6,5,6,5,5,1
expert_01,xinxiangyang,I087,P005,T3_transfer_A05,T3,transfer,A05,6,6,6,6,6,1
expert_01,xinxiangyang,I088,P003,T2_middle_D01,T2,middle,D01,5,2,5,4,4,1
expert_01,xinxiangyang,I089,P006,T3_transfer_D06,T3,transfer,D06,6,5,6,6,6,1
expert_01,xinxiangyang,I090,P017,T2_middle_D03,T2,middle,D03,6,7,4,6,6,1
expert_01,xinxiangyang,I091,P004,T1_early_C03,T1,early,C03,6,6,4,5,6,1
expert_01,xinxiangyang,I092,P013,T2_middle_D05,T2,middle,D05,3,3,2,3,3,0
expert_01,xinxiangyang,I093,P019,T1_early_A04,T1,early,A04,7,6,7,6,6,1
expert_01,xinxiangyang,I094,P011,T2_middle_C04,T2,middle,C04,7,6,4,6,6,1
expert_01,xinxiangyang,I095,P018,T3_transfer_E02,T3,transfer,E02,7,6,6,6,6,1
expert_01,xinxiangyang,I096,P012,T1_early_C02,T1,early,C02,7,7,7,6,7,1
expert_01,xinxiangyang,I097,P020,T1_early_D03,T1,early,D03,5,3,5,4,4,1
expert_01,xinxiangyang,I098,P012,T1_middle_D01,T1,middle,D01,7,6,6,7,7,1
expert_01,xinxiangyang,I099,P014,T2_middle_D03,T2,middle,D03,2,1,1,1,2,0
expert_01,xinxiangyang,I100,P015,T3_transfer_D03,T3,transfer,D03,6,4,6,5,5,1
expert_01,xinxiangyang,I101,P009,T2_middle_C04,T2,middle,C04,7,7,5,6,7,1
expert_01,xinxiangyang,I102,P003,T3_transfer_C03,T3,transfer,C03,4,2,4,3,4,0
expert_01,xinxiangyang,I103,P019,T2_middle_A02,T2,middle,A02,6,5,6,5,6,1
expert_01,xinxiangyang,I104,P004,T3_transfer_A04,T3,transfer,A04,7,7,6,6,6,1
expert_01,xinxiangyang,I105,P004,T3_transfer_A01,T3,transfer,A01,7,7,5,6,6,1
expert_01,xinxiangyang,I106,P002,T3_transfer_A01,T3,transfer,A01,6,5,6,6,6,1
expert_01,xinxiangyang,I107,P001,T1_early_D03,T1,early,D03,6,5,6,5,5,1
expert_01,xinxiangyang,I108,P018,T2_middle_A05,T2,middle,A05,7,5,4,6,6,1
expert_01,xinxiangyang,I109,P020,T2_middle_E01,T2,middle,E01,4,3,3,3,3,0
expert_01,xinxiangyang,I110,P013,T1_early_C04,T1,early,C04,3,2,3,2,3,0
expert_01,xinxiangyang,I111,P008,T1_middle_A05,T1,middle,A05,5,2,5,4,4,1
expert_01,xinxiangyang,I112,P016,T1_early_C04,T1,early,C04,5,3,4,4,4,1
expert_01,xinxiangyang,I113,P008,T3_transfer_C03,T3,transfer,C03,6,5,6,6,6,1
expert_01,xinxiangyang,I114,P015,T1_middle_A01,T1,middle,A01,6,5,6,6,6,1
expert_01,xinxiangyang,I115,P020,T3_transfer_E02,T3,transfer,E02,4,3,5,4,4,1
expert_01,xinxiangyang,I116,P004,T2_middle_D05,T2,middle,D05,3,3,1,2,3,0
expert_01,xinxiangyang,I117,P002,T1_middle_D04,T1,middle,D04,7,6,6,6,6,1
expert_01,xinxiangyang,I118,P006,T1_middle_A02,T1,middle,A02,6,6,5,6,6,1
expert_01,xinxiangyang,I119,P003,T2_middle_C01,T2,middle,C01,6,5,6,5,5,1
expert_01,xinxiangyang,I120,P019,T3_transfer_C01,T3,transfer,C01,6,6,6,6,6,1
expert_01,xinxiangyang,I121,P021,T1_early_A04,T1,early,A04,4,4,5,3,3,0
expert_01,xinxiangyang,I122,P024,T1_early_C03,T1,early,C03,5,6,5,5,5,1
expert_01,xinxiangyang,I123,P022,T1_early_D06,T1,early,D06,6,5,6,6,6,1
expert_01,xinxiangyang,I124,P024,T3_transfer_A03,T3,transfer,A03,6,6,6,5,6,1
expert_01,xinxiangyang,I125,P025,T3_transfer_A05,T3,transfer,A05,5,5,5,5,5,1
expert_01,xinxiangyang,I126,P021,T3_transfer_D03,T3,transfer,D03,5,6,2,4,5,1
expert_01,xinxiangyang,I127,P022,T3_transfer_A01,T3,transfer,A01,6,5,6,6,6,1
expert_01,xinxiangyang,I128,P024,T2_middle_A05,T2,middle,A05,7,6,7,7,7,1
expert_01,xinxiangyang,I129,P025,T1_middle_E05,T1,middle,E05,6,5,6,6,6,1
expert_01,xinxiangyang,I130,P025,T3_transfer_D04,T3,transfer,D04,6,6,4,6,6,1
expert_01,xinxiangyang,I131,P024,T1_early_D02,T1,early,D02,6,6,5,5,5,1
expert_01,xinxiangyang,I132,P024,T3_transfer_D01,T3,transfer,D01,6,5,6,6,6,1
expert_01,xinxiangyang,I133,P023,T3_transfer_C03,T3,transfer,C03,7,6,7,6,6,1
expert_01,xinxiangyang,I134,P021,T1_middle_D04,T1,middle,D04,6,6,6,5,6,1
expert_01,xinxiangyang,I135,P025,T1_early_C01,T1,early,C01,6,6,6,6,6,1
expert_01,xinxiangyang,I136,P025,T1_early_E04,T1,early,E04,6,6,6,6,6,1
expert_01,xinxiangyang,I137,P021,T1_early_C02,T1,early,C02,5,4,5,4,4,1
expert_01,xinxiangyang,I138,P025,T1_middle_A03,T1,middle,A03,5,5,5,4,5,1
expert_01,xinxiangyang,I139,P023,T2_middle_C02,T2,middle,C02,6,6,7,5,6,1
expert_01,xinxiangyang,I140,P022,T1_middle_C01,T1,middle,C01,6,4,6,6,6,1
expert_01,xinxiangyang,I141,P021,T3_transfer_A03,T3,transfer,A03,6,6,2,6,6,1
expert_01,xinxiangyang,I142,P023,T2_middle_A04,T2,middle,A04,4,5,1,3,4,0
expert_01,xinxiangyang,I143,P021,T1_middle_E03,T1,middle,E03,6,4,6,5,5,1
expert_01,xinxiangyang,I144,P022,T1_early_E02,T1,early,E02,5,3,6,4,4,1
expert_01,xinxiangyang,I145,P022,T1_middle_A04,T1,middle,A04,6,5,6,6,6,1
expert_01,xinxiangyang,I146,P023,T1_early_D05,T1,early,D05,6,5,7,5,6,1
expert_01,xinxiangyang,I147,P022,T3_transfer_C04,T3,transfer,C04,5,5,6,5,5,1
expert_01,xinxiangyang,I148,P024,T2_middle_E04,T2,middle,E04,7,6,7,6,6,1
expert_01,xinxiangyang,I149,P023,T1_early_D06,T1,early,D06,6,5,6,5,5,1
expert_01,xinxiangyang,I150,P023,T3_transfer_E02,T3,transfer,E02,6,5,6,5,5,1
expert_02,louyongqi,I001,P006,T1_early_C01,T1,early,C01,7,6,6,6,6,1
expert_02,louyongqi,I002,P013,T3_transfer_D04,T3,transfer,D04,3,2,3,2,2,0
expert_02,louyongqi,I003,P001,T2_middle_A04,T2,middle,A04,4,3,5,4,4,1
expert_02,louyongqi,I004,P002,T1_early_C02,T1,early,C02,4,3,5,4,4,1
expert_02,louyongqi,I005,P017,T1_early_A03,T1,early,A03,5,3,5,4,4,1
expert_02,louyongqi,I006,P005,T1_middle_E03,T1,middle,E03,6,6,6,6,6,1
expert_02,louyongqi,I007,P001,T1_early_E04,T1,early,E04,7,5,7,6,6,1
expert_02,louyongqi,I008,P003,T1_early_D02,T1,early,D02,5,5,5,5,5,1
expert_02,louyongqi,I009,P009,T1_early_C02,T1,early,C02,7,7,7,7,7,1
expert_02,louyongqi,I010,P003,T3_transfer_E05,T3,transfer,E05,4,4,4,4,4,1
expert_02,louyongqi,I011,P010,T3_transfer_D01,T3,transfer,D01,6,6,6,6,6,1
expert_02,louyongqi,I012,P003,T1_early_E02,T1,early,E02,5,5,5,5,5,1
expert_02,louyongqi,I013,P019,T2_middle_D05,T2,middle,D05,6,4,3,5,5,1
expert_02,louyongqi,I014,P016,T3_transfer_C02,T3,transfer,C02,5,5,4,5,5,1
expert_02,louyongqi,I015,P009,T3_transfer_E01,T3,transfer,E01,6,7,2,6,6,1
expert_02,louyongqi,I016,P007,T3_transfer_E05,T3,transfer,E05,6,5,6,6,6,1
expert_02,louyongqi,I017,P001,T2_middle_E05,T2,middle,E05,7,6,6,7,7,1
expert_02,louyongqi,I018,P002,T3_transfer_E03,T3,transfer,E03,5,5,2,5,4,1
expert_02,louyongqi,I019,P016,T3_transfer_D06,T3,transfer,D06,2,1,1,2,1,0
expert_02,louyongqi,I020,P017,T1_early_E04,T1,early,E04,6,4,6,5,5,1
expert_02,louyongqi,I021,P008,T3_transfer_C04,T3,transfer,C04,5,5,5,5,5,1
expert_02,louyongqi,I022,P013,T2_middle_C03,T2,middle,C03,6,5,6,6,6,1
expert_02,louyongqi,I023,P007,T1_early_D01,T1,early,D01,4,3,5,4,4,1
expert_02,louyongqi,I024,P020,T2_middle_A05,T2,middle,A05,5,3,6,5,5,1
expert_02,louyongqi,I025,P014,T1_early_C04,T1,early,C04,4,3,5,4,4,1
expert_02,louyongqi,I026,P018,T2_middle_D03,T2,middle,D03,7,7,6,7,7,1
expert_02,louyongqi,I027,P005,T1_early_D03,T1,early,D03,6,6,5,6,6,1
expert_02,louyongqi,I028,P018,T1_early_C03,T1,early,C03,3,3,1,3,2,0
expert_02,louyongqi,I029,P005,T3_transfer_C02,T3,transfer,C02,6,5,6,6,6,1
expert_02,louyongqi,I030,P001,T3_transfer_C01,T3,transfer,C01,7,6,6,6,6,1
expert_02,louyongqi,I031,P001,T3_transfer_D05,T3,transfer,D05,7,7,6,7,7,1
expert_02,louyongqi,I032,P017,T3_transfer_C04,T3,transfer,C04,6,4,6,6,5,1
expert_02,louyongqi,I033,P016,T1_early_D02,T1,early,D02,7,7,3,7,7,1
expert_02,louyongqi,I034,P015,T1_early_E05,T1,early,E05,5,3,5,4,4,1
expert_02,louyongqi,I035,P013,T1_early_A05,T1,early,A05,3,2,3,3,3,0
expert_02,louyongqi,I036,P010,T2_middle_E01,T2,middle,E01,6,6,5,6,6,1
expert_02,louyongqi,I037,P015,T3_transfer_C02,T3,transfer,C02,5,4,5,5,5,1
expert_02,louyongqi,I038,P019,T3_transfer_C03,T3,transfer,C03,7,6,7,6,6,1
expert_02,louyongqi,I039,P012,T3_transfer_A05,T3,transfer,A05,6,7,5,6,6,1
expert_02,louyongqi,I040,P020,T1_early_D02,T1,early,D02,2,2,3,2,2,0
expert_02,louyongqi,I041,P016,T2_middle_E03,T2,middle,E03,6,6,2,6,5,1
expert_02,louyongqi,I042,P010,T1_early_E04,T1,early,E04,3,2,3,3,3,0
expert_02,louyongqi,I043,P006,T3_transfer_D05,T3,transfer,D05,6,6,6,6,6,1
expert_02,louyongqi,I044,P007,T1_early_D02,T1,early,D02,7,7,7,7,7,1
expert_02,louyongqi,I045,P009,T3_transfer_D06,T3,transfer,D06,7,7,4,7,7,1
expert_02,louyongqi,I046,P007,T1_middle_A04,T1,middle,A04,3,2,3,2,2,0
expert_02,louyongqi,I047,P012,T1_early_D03,T1,early,D03,7,7,2,7,6,1
expert_02,louyongqi,I048,P005,T1_early_E02,T1,early,E02,6,6,6,6,6,1
expert_02,louyongqi,I049,P013,T3_transfer_E03,T3,transfer,E03,2,2,2,2,2,0
expert_02,louyongqi,I050,P017,T3_transfer_D06,T3,transfer,D06,3,2,3,3,2,0
expert_02,louyongqi,I051,P014,T3_transfer_E03,T3,transfer,E03,5,4,5,5,5,1
expert_02,louyongqi,I052,P016,T2_middle_A04,T2,middle,A04,6,5,6,6,6,1
expert_02,louyongqi,I053,P009,T2_middle_A05,T2,middle,A05,6,7,5,6,6,1
expert_02,louyongqi,I054,P011,T3_transfer_A05,T3,transfer,A05,6,6,6,6,6,1
expert_02,louyongqi,I055,P015,T1_middle_D05,T1,middle,D05,5,5,5,5,5,1
expert_02,louyongqi,I056,P007,T1_middle_E01,T1,middle,E01,4,3,5,4,4,1
expert_02,louyongqi,I057,P014,T2_middle_D06,T2,middle,D06,5,3,6,5,5,1
expert_02,louyongqi,I058,P008,T1_early_D04,T1,early,D04,7,6,6,7,6,1
expert_02,louyongqi,I059,P018,T1_early_A02,T1,early,A02,7,6,3,6,6,1
expert_02,louyongqi,I060,P006,T1_early_C03,T1,early,C03,6,5,6,5,5,1
expert_02,louyongqi,I061,P012,T1_middle_C04,T1,middle,C04,6,7,5,6,6,1
expert_02,louyongqi,I062,P011,T1_early_E04,T1,early,E04,7,7,6,7,7,1
expert_02,louyongqi,I063,P020,T3_transfer_C04,T3,transfer,C04,5,4,5,5,4,1
expert_02,louyongqi,I064,P008,T1_early_E04,T1,early,E04,6,6,6,6,6,1
expert_02,louyongqi,I065,P002,T1_middle_C04,T1,middle,C04,7,6,6,7,6,1
expert_02,louyongqi,I066,P010,T3_transfer_A02,T3,transfer,A02,6,5,6,6,5,1
expert_02,louyongqi,I067,P004,T1_early_E01,T1,early,E01,7,7,2,7,6,1
expert_02,louyongqi,I068,P014,T3_transfer_E02,T3,transfer,E02,5,3,5,4,4,1
expert_02,louyongqi,I069,P015,T1_early_C04,T1,early,C04,6,5,6,5,5,1
expert_02,louyongqi,I070,P006,T1_middle_E01,T1,middle,E01,5,4,4,4,4,1
expert_02,louyongqi,I071,P009,T1_early_D01,T1,early,D01,6,5,4,6,5,1
expert_02,louyongqi,I072,P002,T1_early_E05,T1,early,E05,6,5,6,6,6,1
expert_02,louyongqi,I073,P018,T3_transfer_C01,T3,transfer,C01,7,6,2,6,6,1
expert_02,louyongqi,I074,P007,T3_transfer_A05,T3,transfer,A05,6,4,6,6,5,1
expert_02,louyongqi,I075,P017,T2_middle_C03,T2,middle,C03,7,7,4,7,7,1
expert_02,louyongqi,I076,P010,T2_middle_D06,T2,middle,D06,7,7,6,7,7,1
expert_02,louyongqi,I077,P004,T2_middle_D02,T2,middle,D02,7,7,3,7,7,1
expert_02,louyongqi,I078,P019,T1_early_D04,T1,early,D04,6,5,5,6,5,1
expert_02,louyongqi,I079,P011,T3_transfer_D01,T3,transfer,D01,7,7,6,7,7,1
expert_02,louyongqi,I080,P014,T1_early_C02,T1,early,C02,4,4,4,4,4,1
expert_02,louyongqi,I081,P011,T1_early_C03,T1,early,C03,6,4,6,6,6,1
expert_02,louyongqi,I082,P012,T3_transfer_E04,T3,transfer,E04,7,7,6,7,7,1
expert_02,louyongqi,I083,P011,T2_middle_D02,T2,middle,D02,6,6,4,5,5,1
expert_02,louyongqi,I084,P005,T1_middle_A01,T1,middle,A01,6,6,6,6,6,1
expert_02,louyongqi,I085,P010,T1_early_C04,T1,early,C04,6,6,6,6,6,1
expert_02,louyongqi,I086,P008,T1_middle_E02,T1,middle,E02,6,5,6,6,5,1
expert_02,louyongqi,I087,P005,T3_transfer_A05,T3,transfer,A05,6,6,5,6,6,1
expert_02,louyongqi,I088,P003,T2_middle_D01,T2,middle,D01,4,3,5,4,4,1
expert_02,louyongqi,I089,P006,T3_transfer_D06,T3,transfer,D06,6,6,5,6,6,1
expert_02,louyongqi,I090,P017,T2_middle_D03,T2,middle,D03,6,7,3,6,6,1
expert_02,louyongqi,I091,P004,T1_early_C03,T1,early,C03,6,6,4,6,6,1
expert_02,louyongqi,I092,P013,T2_middle_D05,T2,middle,D05,3,3,2,3,2,0
expert_02,louyongqi,I093,P019,T1_early_A04,T1,early,A04,7,7,7,7,7,1
expert_02,louyongqi,I094,P011,T2_middle_C04,T2,middle,C04,7,7,4,7,7,1
expert_02,louyongqi,I095,P018,T3_transfer_E02,T3,transfer,E02,6,6,5,6,6,1
expert_02,louyongqi,I096,P012,T1_early_C02,T1,early,C02,7,7,7,7,7,1
expert_02,louyongqi,I097,P020,T1_early_D03,T1,early,D03,5,3,5,4,4,1
expert_02,louyongqi,I098,P012,T1_middle_D01,T1,middle,D01,7,7,6,7,7,1
expert_02,louyongqi,I099,P014,T2_middle_D03,T2,middle,D03,2,1,1,2,1,0
expert_02,louyongqi,I100,P015,T3_transfer_D03,T3,transfer,D03,6,4,5,5,5,1
expert_02,louyongqi,I101,P009,T2_middle_C04,T2,middle,C04,7,7,5,7,7,1
expert_02,louyongqi,I102,P003,T3_transfer_C03,T3,transfer,C03,3,2,4,3,3,0
expert_02,louyongqi,I103,P019,T2_middle_A02,T2,middle,A02,6,5,5,6,6,1
expert_02,louyongqi,I104,P004,T3_transfer_A04,T3,transfer,A04,7,7,5,7,7,1
expert_02,louyongqi,I105,P004,T3_transfer_A01,T3,transfer,A01,7,7,4,7,7,1
expert_02,louyongqi,I106,P002,T3_transfer_A01,T3,transfer,A01,6,5,6,6,6,1
expert_02,louyongqi,I107,P001,T1_early_D03,T1,early,D03,6,5,6,5,5,1
expert_02,louyongqi,I108,P018,T2_middle_A05,T2,middle,A05,6,6,2,6,5,1
expert_02,louyongqi,I109,P020,T2_middle_E01,T2,middle,E01,4,3,4,4,4,1
expert_02,louyongqi,I110,P013,T1_early_C04,T1,early,C04,3,2,3,3,3,0
expert_02,louyongqi,I111,P008,T1_middle_A05,T1,middle,A05,4,3,5,4,4,1
expert_02,louyongqi,I112,P016,T1_early_C04,T1,early,C04,5,4,4,5,4,1
expert_02,louyongqi,I113,P008,T3_transfer_C03,T3,transfer,C03,6,6,6,6,6,1
expert_02,louyongqi,I114,P015,T1_middle_A01,T1,middle,A01,6,6,6,6,6,1
expert_02,louyongqi,I115,P020,T3_transfer_E02,T3,transfer,E02,4,3,5,4,4,1
expert_02,louyongqi,I116,P004,T2_middle_D05,T2,middle,D05,3,3,1,3,2,0
expert_02,louyongqi,I117,P002,T1_middle_D04,T1,middle,D04,7,6,5,7,6,1
expert_02,louyongqi,I118,P006,T1_middle_A02,T1,middle,A02,6,6,5,6,6,1
expert_02,louyongqi,I119,P003,T2_middle_C01,T2,middle,C01,5,5,6,5,5,1
expert_02,louyongqi,I120,P019,T3_transfer_C01,T3,transfer,C01,6,6,6,6,6,1
expert_02,louyongqi,I121,P021,T1_early_A04,T1,early,A04,5,5,6,4,4,1
expert_02,louyongqi,I122,P024,T1_early_C03,T1,early,C03,6,6,6,6,6,1
expert_02,louyongqi,I123,P022,T1_early_D06,T1,early,D06,7,5,7,7,7,1
expert_02,louyongqi,I124,P024,T3_transfer_A03,T3,transfer,A03,7,7,7,7,7,1
expert_02,louyongqi,I125,P025,T3_transfer_A05,T3,transfer,A05,6,6,6,6,6,1
expert_02,louyongqi,I126,P021,T3_transfer_D03,T3,transfer,D03,5,6,2,5,5,1
expert_02,louyongqi,I127,P022,T3_transfer_A01,T3,transfer,A01,7,6,7,7,7,1
expert_02,louyongqi,I128,P024,T2_middle_A05,T2,middle,A05,7,7,7,7,7,1
expert_02,louyongqi,I129,P025,T1_middle_E05,T1,middle,E05,7,6,7,7,7,1
expert_02,louyongqi,I130,P025,T3_transfer_D04,T3,transfer,D04,7,6,4,7,6,1
expert_02,louyongqi,I131,P024,T1_early_D02,T1,early,D02,7,7,6,7,7,1
expert_02,louyongqi,I132,P024,T3_transfer_D01,T3,transfer,D01,7,6,6,7,6,1
expert_02,louyongqi,I133,P023,T3_transfer_C03,T3,transfer,C03,7,6,7,7,7,1
expert_02,louyongqi,I134,P021,T1_middle_D04,T1,middle,D04,7,7,7,7,7,1
expert_02,louyongqi,I135,P025,T1_early_C01,T1,early,C01,7,7,7,7,7,1
expert_02,louyongqi,I136,P025,T1_early_E04,T1,early,E04,7,6,7,7,7,1
expert_02,louyongqi,I137,P021,T1_early_C02,T1,early,C02,6,5,6,5,5,1
expert_02,louyongqi,I138,P025,T1_middle_A03,T1,middle,A03,5,5,5,5,5,1
