expert_id,expert_slug,item_id,participant_id,task_id,stage,comment
expert_01,xinxiangyang,I101,P004,T3_transfer_A01,T3,远景左右分区清楚，未降低仰拍机位或改人物在楼梯上的高低。
expert_01,xinxiangyang,I113,P003,T2_middle_C01,T2,追逐暗示女人在镜头前男人身后，机位侧后未写。
expert_02,louyongqi,I011,P003,T1_early_E02,T1,仅有镜头前/后的深度称呼，未给出沿栏杆靠边或居中的可重建站位。
expert_02,louyongqi,I015,P017,T2_middle_D03,T2,人物相对位置、间距、偏侧机位与门的画面位置构成可重建空间系统。
expert_02,louyongqi,I023,P011,T3_transfer_A05,T3,保持原镜头，朝向与向右离开写清，但无侧后方机位。
expert_02,louyongqi,I029,P001,T3_transfer_D05,T3,前后与后脑勺标明谁在谁后，但未拉开间距、也非斜后方。
expert_02,louyongqi,I033,P009,T2_middle_A05,T2,右后方与间距清楚，机位写成大致正面，与侧后斜看不一致。
expert_02,louyongqi,I036,P017,T2_middle_C03,T2,右后方加明显拉开距离，庭院空间系统可重建。
expert_02,louyongqi,I038,P010,T2_middle_E01,T2,人在空舞台上，人–舞台距离与舞台作为场地主体可重建。
expert_02,louyongqi,I042,P009,T3_transfer_D06,T3,过肩与前景分层很具体，但未交代玻璃内外与玻璃遮挡。
expert_02,louyongqi,I048,P008,T1_early_E04,T1,离开座位去后方柜子，有位移方向，缺相对长椅一端或间距量。
expert_02,louyongqi,I057,P018,T2_middle_D03,T2,从走廊最深处走出可重建纵深；机位居中低角，并非沿一侧看向深处。
expert_02,louyongqi,I073,P010,T2_middle_D06,T2,前后距离与近远镜头构成直线纵深，但指称是马路而非玻璃内外。
expert_02,louyongqi,I079,P011,T2_middle_D02,T2,门被写成看不见，无法用门框遮挡身体；三人居中站位含糊。
expert_02,louyongqi,I090,P011,T2_middle_C04,T2,男生在女生后面有参照，缺斜向与拉开间距，且场景换成甲板近景。
expert_02,louyongqi,I091,P018,T3_transfer_E02,T3,背面全景可执行侧向以外的转向，未沿栏杆改站位。
expert_03,lihejin,I011,P003,T1_early_E02,T1,镜头前/后面的人指代不清，制作者无法选定具体人物。
expert_03,lihejin,I013,P015,T1_early_C04,T1,所看对象未指定，近景可执行但后续切人含糊。
expert_03,lihejin,I015,P017,T2_middle_D03,T2,人物A/B需对照原图才能锚定，但相对位置与机位可重建。
expert_03,lihejin,I024,P002,T1_middle_C04,T1,转头朝向照片左边写清了，但未给出与第三人的斜后方位。
expert_03,lihejin,I033,P009,T2_middle_A05,T2,机位写大致正面，与侧后观察目标不一致；男生「背对」缺宾语。
expert_03,lihejin,I036,P017,T2_middle_C03,T2,右后方+拉开距离可直接落地。
expert_03,lihejin,I038,P010,T2_middle_E01,T2,人上到空舞台，距离缩短可执行；舞台是否成为构图主体仍略欠。
expert_03,lihejin,I042,P009,T3_transfer_D06,T3,过肩与左右站位清楚，但未交代玻璃内外分层。
expert_03,lihejin,I055,P013,T3_transfer_E03,T3,关键角色未指明是谁。
expert_03,lihejin,I057,P018,T2_middle_D03,T2,从走廊最深处走出可执行；居中+低机位不是侧向看深处。
expert_03,lihejin,I079,P011,T2_middle_D02,T2,「大致正面」与「从侧后方观察」互相打架；门被要求看不见。
expert_03,lihejin,I090,P011,T2_middle_C04,T2,男生在女生后面可执行，但第三人/右侧斜后未交代。
expert_04,liuzhejun,I015,P017,T2_middle_D03,T2,站位写人物相对右前方并拉开距离，走廊靠一侧/深处只部分可对上；机位高度/左右/距离/侧后方写全。
expert_04,liuzhejun,I023,P011,T3_transfer_A05,T3,写明保持原镜头视角，侧后方机位未出现；视线看向背影、人向右走。
expert_04,liuzhejun,I029,P001,T3_transfer_D05,T3,前后关系有，斜后方与相对另外两人的距离指代不清。
expert_04,liuzhejun,I033,P009,T2_middle_A05,T2,机位写成大致正面，与侧后方观察不一致。
expert_04,liuzhejun,I036,P017,T2_middle_C03,T2,右后方加拉开距离可重建人物关系；庭院距离缺少远近尺度。
expert_04,liuzhejun,I042,P009,T3_transfer_D06,T3,过肩与前景分层清楚，玻璃内/外未写。
expert_04,liuzhejun,I049,P011,T1_early_E04,T1,离开座位走到画面左边，不是放到椅子更一端。
expert_04,liuzhejun,I057,P018,T2_middle_D03,T2,人从走廊最远处出来对上深处；居中低角度不是从一侧略偏看进去。
expert_04,liuzhejun,I073,P010,T2_middle_D06,T2,前后距离清楚，分层物不是玻璃。
expert_04,liuzhejun,I079,P011,T2_middle_D02,T2,写看不到门，与门框遮挡/门后更深相反。
expert_04,liuzhejun,I090,P011,T2_middle_C04,T2,男生在女生后面可执行前后关系，不是右侧一人相对另外两人。
expert_04,liuzhejun,I097,P009,T2_middle_C04,T2,侧后方写的是摄影机，不是人物斜后方。
expert_04,liuzhejun,I113,P003,T2_middle_C01,T2,追逐暗示前后与距离，A/B与侧后方机位都未点名。
