participant_id,group,task_id,stage,block,image_id,round,task_ended,final_text
P004,Scaffold,T2_middle_D02,T2,middle,D02,1,1,画面中有两个人物，一左一右分别占据画面两边，中景，只露出人物的胸腔以上，中间是一面镜子，镜子中反射出第三个人物，两个左右两边主要的人物正在向右边看去
P004,Scaffold,T3_transfer_A01,T3,transfer,A01,1,1,空旷的室内别墅中，男主身后跟着一只狗狗在走动。远景的景别，主要表达环境空间，人物很小的出现在画面中心靠右的部分，整个画面中心点左边全是客厅空镜，一个楼梯，楼梯前还有一盆植物
P004,Scaffold,T3_transfer_A04,T3,transfer,A04,1,1,一个第一人称透过地下室窗口向外看的视角，整体一个窗框镜头，被窗户的栏杆切分成很多块面，画面中有三个画面人物在互相泼水，穿着简陋，两个在画面右边，与左边的人物相对面的站着
P005,Control,T1_early_E02,T1,early,E02,1,1,男人转身向身后的两人走去
P005,Control,T1_early_D03,T1,early,D03,3,1,一个贵妇从侧面的房门中走出
P005,Control,T1_middle_E03,T1,middle,E03,1,1,画面中的人全部走下台阶，台阶上空无一人
P005,Control,T1_middle_A01,T1,middle,A01,2,1,女人向左走上台阶
P005,Control,T3_transfer_A05,T3,transfer,A05,1,1,男士右边的椅子又来了一位男士，坐在椅子上，背对着画面
P005,Control,T3_transfer_C02,T3,transfer,C02,1,1,男人和女人坐上汽车准备开车离开，另一位男士离开画面
P006,Control,T1_early_C03,T1,early,C03,1,1,汽车的行驶时遇到了障碍物司机急刹车内的两个人物向前冲去一物头发都随着刹车的方向飞起
P006,Control,T1_early_C01,T1,early,C01,2,1,"画面中的三个人开心的一起享用桌面上的食物, 其中最左边的男性在吃披萨饼中间紫色衣服的女性在吃方便面最右侧男性在吃烧烤串"
P006,Control,T1_middle_A02,T1,middle,A02,1,1,画面整体环境变亮右侧的阳光从画面上撒下一个男人背向镜头穿行在人群涌动的集市中
P006,Control,T1_middle_E01,T1,middle,E01,1,1,整体画面变亮女杂技演员正在凳子上方做准备
P006,Control,T3_transfer_D05,T3,transfer,D05,3,1,擦镜子的人保持擦镜子的动作不变，回头与身后的人交流镜子中呈现的是擦镜子的人的后脑勺
P006,Control,T3_transfer_D06,T3,transfer,D06,1,1,前景的男女演员，一边笑着鼓掌一边交流。后景中的人群也鼓掌，但整体人物排布不变。
P007,Control,T1_early_D02,T1,early,D02,2,1,镜子里的穿浴袍的人攻击镜子前这对男女，这对男女躲避子弹但失败了，双双倒地，镜子里只露出了男女的腿，但能证明他们已经中枪倒地，镜子前没有了两人的身影
P007,Control,T1_early_D01,T1,early,D01,1,1,两个人亲亲
P007,Control,T1_middle_E01,T1,middle,E01,2,1,穿好衣服原地睡觉
P007,Control,T1_middle_A04,T1,middle,A04,3,1,三个人同归于尽吧
P007,Control,T3_transfer_E05,T3,transfer,E05,2,1,一颗导弹降落炸掉小汽车，注意是导弹降落，不是发射导弹，而且如果已经爆炸了的话应该就看不到导弹了
P007,Control,T3_transfer_A05,T3,transfer,A05,1,1,男生抢面吃，女生保护面条
P008,Control,T1_early_E04,T1,early,E04,1,1,沙发上的红衣男子起身，去后面的零售柜拿饮料
P008,Control,T1_early_D04,T1,early,D04,2,1,男人抱起小狗举高高，女人抬头很高兴的看着男人和小狗
P008,Control,T1_middle_A05,T1,middle,A05,1,1,小女孩生气的走了
P008,Control,T1_middle_E02,T1,middle,E02,1,1,黑衣男子会突然跑到镜头前吓人一跳
P008,Control,T3_transfer_C03,T3,transfer,C03,1,1,后座的男人回过头来低头抹泪
P008,Control,T3_transfer_C04,T3,transfer,C04,1,1,两个人面朝大海大喊
P009,Scaffold,T1_early_D01,T1,early,D01,3,1,女子微笑，把手放在车窗边缘，眼神不舍，表情自然，目光有神，视线向下一点
P009,Scaffold,T1_early_C02,T1,early,C02,3,1,女子表情微怒，眉头微皱，一只手抓住左侧男子下摆，与其拉扯；左侧男子与女子距离拉近；中间的男子左手拉男子右手拉女子试图劝架，身体倾向女子；背景中的男子闻声转头
P009,Scaffold,T2_middle_C04,T2,middle,C04,4,1,两个人站在甲板上，看向远方的大海，只留下背影，镜头拉远，让两个女孩靠近画面前方；摄影机在较低的位置、偏左，靠近场景，从侧后方观察；把海鸥放在画面左侧，并在远处增加几只飞行的海鸥。
P009,Scaffold,T2_middle_A05,T2,middle,A05,3,1,将男生移到女生右后方，并明显拉开他们之间的距离；让男生更靠近画面前方；让女生看向男生，摄影机在接近视线高度、大致正面，保持适中距离，朝向场景观察；把长椅放在画面中部。男生背对在吧台拿筷子
P009,Scaffold,T3_transfer_D06,T3,transfer,D06,3,1,摄影机在接近视线高度、位于画面左侧，从左侧穿棕色皮衣女子的背后拍摄，采用过肩镜头，人物在画面两侧。一辆汽车停在众人面前，车灯微微开启，散发出柔和暖黄光，照亮了前景人物轮廓。前景展示棕色皮衣女子和黑色西装男子背影，车后不要有人物出现。
P009,Scaffold,T3_transfer_E01,T3,transfer,E01,1,1,摄像机俯拍，从人物视线出发，人物倒影占画面大部分，人物只留下半身
P010,Scaffold,T1_early_E04,T1,early,E04,1,1,画面中两个人在交谈，一些比较轻松随意的聊天
P010,Scaffold,T1_early_C04,T1,early,C04,3,1,两个女孩产生了争执，其中一人起身离开了同伴，转身远离海边，同伴站在海边看着她，表情复杂。两人都正面对着镜头
P010,Scaffold,T2_middle_D06,T2,middle,D06,3,1,在繁华的街道十字路口，女生在前面生气过马路，向马路对面巨大的广告屏走去，男生在后面追她，两人之间有一段距离，男生靠近镜头和观众，女生则较远，两人保持直线关系
P010,Scaffold,T2_middle_E01,T2,middle,E01,2,1,主角独自一人在空舞台上练习舞蹈
P010,Scaffold,T3_transfer_A02,T3,transfer,A02,1,1,主角在空无一人的街道上向前奔跑
P010,Scaffold,T3_transfer_D01,T3,transfer,D01,1,1,男生将头伸向车窗与女生亲吻告别
P011,Scaffold,T1_early_E04,T1,early,E04,3,1,这个画面中，右边坐着单人沙发的人站起来走到画面的左边位置，准备去屋内后面的饮料机，接一杯可乐，中间的沙发躺着的那个人姿势保持原来的不变
P011,Scaffold,T1_early_C03,T1,early,C03,3,1,画面中的男生转头，眼睛看向女生的脸，准备和她讲话，女生听到声音准备回头回应男生
P011,Scaffold,T2_middle_C04,T2,middle,C04,5,1,请你生成一张 近景，一男一女在一个邮轮的甲板上站着靠近栏杆，男生在女生的后面，低头看向大海，女生看向镜头眼睛闭着
P011,Scaffold,T2_middle_D02,T2,middle,D02,3,1,整个画面的背景是一个这个房间的墙，镜子在画面的左侧，镜子中能照到三个人，门在镜子的正对面，画面中是看不到门的，三个人站在房间的中间聊天，摄影机在较低的位置、大致正面，保持适中距离，从侧后方观察
P011,Scaffold,T3_transfer_D01,T3,transfer,D01,3,1,画面中的女生在画面的右侧，最后站在街边看向马路的尽头，男生开着蓝色的车子在街道尽头远去
P011,Scaffold,T3_transfer_A05,T3,transfer,A05,2,1,保持整个画面的氛围和镜头视角，画面中的女生放下筷子看向男生的背影，画面中的男生起身向画面的右侧走去，去除掉画面中坐着的的男生
P012,Control,T1_early_C02,T1,early,C02,3,1,左侧人物向中间人物移动并伸出右手，右侧女生后退。车后的远处两个人物向左整体移动行走。右侧女生身体朝向左侧，头向摄像机中望去
P012,Control,T1_early_D03,T1,early,D03,1,1,画面右侧距离摄像机近距离出现半个背影，是一位着华丽欧式复古长裙的女士，自然松散地盘发，背对镜头，只露出半个身影
P012,Control,T1_middle_D01,T1,middle,D01,1,1,车窗外的女士伸出右侧的手进车里，抚摸男士脸颊，眼睛朝下看。其余不变
P012,Control,T1_middle_C04,T1,middle,C04,1,1,画面右侧的女士头向左侧转，面向左侧，露出侧脸。右侧的女士同样面向左侧，露出侧脸。两张侧脸前后交叠
P012,Control,T3_transfer_E04,T3,transfer,E04,2,1,画面中央的自动售货机爆炸，露出火花和火星四射，以及中间有爆炸炫光和烟。画面中的两个人物站立在右侧，面朝自动售货机。黑色沙发仍然遮挡在自动售货机前方。其余不变
P012,Control,T3_transfer_A05,T3,transfer,A05,3,1,左侧的女士站起，手撑桌子，右侧男士仍坐在女士右侧的第一个紧邻座位，座椅向右侧挪动，保持坐姿和座椅不变。环境不发生变化
P013,Scaffold,T1_early_C04,T1,early,C04,1,1,下一秒看起来两个人会有一些争执
P013,Scaffold,T1_early_A05,T1,early,A05,2,1,会其乐融融地聊起日常生活发生的事情
P013,Scaffold,T2_middle_D05,T2,middle,D05,2,1,人物A需要露出外貌
P013,Scaffold,T2_middle_C03,T2,middle,C03,2,1,人物B把头扭过来看向A，，人物A姿势不变，镜头聚焦到人物B
P013,Scaffold,T3_transfer_D04,T3,transfer,D04,1,1,两个人物之间会进行交流
P013,Scaffold,T3_transfer_E03,T3,transfer,E03,1,1,镜头聚焦到一个关键角色上
P014,Scaffold,T1_early_C02,T1,early,C02,1,1,两个面对的人 下一年开始吵架 第三个人呆滞地看着
P014,Scaffold,T1_early_C04,T1,early,C04,1,1,两个人开始亲嘴
P014,Scaffold,T2_middle_D03,T2,middle,D03,2,1,儿子娇羞可爱父亲风韵犹存
P014,Scaffold,T2_middle_D06,T2,middle,D06,2,1,有一个帅哥冲进来和男主角亲嘴
P014,Scaffold,T3_transfer_E03,T3,transfer,E03,1,1,所有人全部飞上天 都很惊恐 不要飞向我 往天上飞啊 大哥
P014,Scaffold,T3_transfer_E02,T3,transfer,E02,1,1,男主角开始跳芭蕾
P015,Control,T1_early_C04,T1,early,C04,2,1,你应该是在原图的基础上继续连贯的生成，上一张图是海边的两个女孩，下一个视角切到金发女子的近景，她转过头继续看向画面外，表情严肃或有些警惕，随后镜头展示她正在注视的人或事物
P015,Control,T1_early_E05,T1,early,E05,1,1,怪盗基德出现，准备上车
P015,Control,T1_middle_A01,T1,middle,A01,1,1,妈妈在笼舍为两只小狗换食物，两只小狗在脚边摇尾巴
P015,Control,T1_middle_D05,T1,middle,D05,1,1,镜子中的两个男人相视戏谑一笑
P015,Control,T3_transfer_D03,T3,transfer,D03,1,1,一位贵族出现在镜头，两名服务生向贵族鞠躬
P015,Control,T3_transfer_C02,T3,transfer,C02,1,1,三名年轻人坐上车出发
P016,Scaffold,T1_early_D02,T1,early,D02,1,1,黑白的画面，左女右男两个人面对镜头看向镜头后方，中间有个圆形的镜子，上面印着男人的后脑勺
P016,Scaffold,T1_early_C04,T1,early,C04,1,1,两个女人面面相觑
P016,Scaffold,T2_middle_A04,T2,middle,A04,2,1,两个人在互相泼水，波及到了不远的第三人
P016,Scaffold,T2_middle_E03,T2,middle,E03,2,1,整个画面都是台阶，上面稀稀疏疏的站着形色各异的人
P016,Scaffold,T3_transfer_C02,T3,transfer,C02,1,1,两个男人一个女人，一男一女对峙着另一个男人
P016,Scaffold,T3_transfer_D06,T3,transfer,D06,1,1,两男一女
