participant_id,task_id,image_id,satisfied_round,sketch_action_count,sketch_action_counts,auto_prompt_count,selected_auto_prompt_id,selected_auto_prompt_method,selected_auto_prompt,selected_user_prompt_after,selected_copy_ratio,final_text,final_text_source,interpret_event_count
P013,T2_middle_D05,D05,2,6,"{""move"": 3, ""move_object"": 3}",1,ap_P001_0096,latest_prompt_at_or_before_satisfied_round,将人物C移到人物A的右后方，并保持人物之间的间距；让人物B处在另外两个人之间，前后层次更清楚；让人物A、人物B、人物C更靠近画面前方；人物B看向人物A；摄影机在较低的位置、偏左，保持适中距离，从侧后方观察；把餐桌放在画面中部。,人物A需要露出外貌,0,人物A需要露出外貌,tasks.csv:final_text,1
P013,T2_middle_C03,C03,2,1,"{""camera_move"": 1}",1,ap_P001_0175,latest_prompt_at_or_before_satisfied_round,将人物B移到人物A的右侧，并保持人物之间的间距；让人物A、人物B更靠近画面前方；人物A看向人物B；摄影机在较低的位置、偏左，保持适中距离，从侧后方观察；把院子放在画面中部。,人物B把头扭过来看向A，镜头聚焦到人物B,0,人物B把头扭过来看向A，，人物A姿势不变，镜头聚焦到人物B,tasks.csv:final_text,1
P014,T2_middle_D03,D03,2,8,"{""camera_move"": 1, ""change_direction"": 1, ""move"": 1, ""move_object"": 5}",1,ap_P001_0114,latest_prompt_at_or_before_satisfied_round,将人物B移到人物A的右后方，并明显拉开他们之间的距离；让人物A更靠近画面前方；摄影机在接近视线高度、大致正面，保持适中距离，从侧后方观察；把尽头的门放在画面左侧。,儿子娇羞可爱父亲风韵犹存,0,儿子娇羞可爱父亲风韵犹存,tasks.csv:final_text,1
P014,T2_middle_D06,D06,2,7,"{""camera_move"": 1, ""change_distance"": 1, ""move"": 4, ""move_object"": 1}",1,ap_P001_0194,latest_prompt_at_or_before_satisfied_round,将人物B移到人物A的右后方，并明显拉开他们之间的距离；摄影机在较低的位置、偏左，保持适中距离，从侧后方观察；把玻璃放在画面右侧。,有一个帅哥冲进来和男主角亲嘴,0,有一个帅哥冲进来和男主角亲嘴,tasks.csv:final_text,1
P016,T2_middle_A04,A04,2,2,"{""move"": 2}",1,ap_P088_0103,latest_prompt_at_or_before_satisfied_round,将人物B移到人物A的右前方，并保持人物之间的间距；让人物B更靠近画面前方；摄影机在较低的位置、偏左，保持适中距离，从侧后方观察；把列车放在画面中部。,两个人在互相泼水，波及到了不远的第三人,0,两个人在互相泼水，波及到了不远的第三人,tasks.csv:final_text,1
P016,T2_middle_E03,E03,2,1,"{""move"": 1}",1,ap_P088_0159,latest_prompt_at_or_before_satisfied_round,将人物B移到人物A的右侧，并保持人物之间的间距；让人物A、人物B更靠近画面前方；摄影机在较低的位置、偏左，保持适中距离，从侧后方观察；把书架放在画面中部。,整个画面都是台阶，上面稀稀疏疏的站着形色各异的人,0,整个画面都是台阶，上面稀稀疏疏的站着形色各异的人,tasks.csv:final_text,1
P023,T2_middle_C02,C02,2,27,"{""add"": 1, ""camera_move"": 4, ""camera_rotate"": 10, ""move"": 10, ""move_object"": 2}",3,ap_P023_0204,linked_to_last_successful_generation,将人物C移到人物A的右侧，并保持人物之间的间距；让人物B处在另外两个人之间，前后层次更清楚；让人物A、人物B、人物C更靠近画面前方；人物A看向人物B；摄影机在较低的位置、偏右，保持适中距离，从侧后方观察；把桌子放在画面中部。,三个人继续面对面交谈。中间男人向前一步解释，左侧人物保持质疑的姿态，右侧女性沉默地看着他们。镜头逐渐靠近女性的表情，展现她复杂的情绪，随后她做出回应。,0,三个人继续面对面交谈。中间男人向前一步解释，左侧人物保持质疑的姿态，右侧女性沉默地看着他们。镜头逐渐靠近女性的表情，展现她复杂的情绪，随后她做出回应。,tasks.csv:final_text,3
P023,T2_middle_A04,A04,2,8,"{""camera_move"": 1, ""camera_rotate"": 5, ""move"": 2}",1,ap_P023_0286,linked_to_last_successful_generation,将人物B移到人物A的右侧，并缩短他们之间的距离；让人物B更靠近画面前方；摄影机在较低的位置、偏左，保持适中距离，从侧后方观察；把列车放在画面中部。,在室内！保留窗框的前景。,0,在室内！保留窗框的前景。,tasks.csv:final_text,1
P024,T2_middle_E04,E04,2,2,"{""move"": 2}",2,ap_P024_0158,linked_to_last_successful_generation,将人物A移到人物B的右前方，并缩短他们之间的距离；让人物A更靠近画面前方；摄影机在较低的位置、偏左，保持适中距离，从侧后方观察；把长椅放在画面中部。,延续昏暗室内夜景，一个人躺在旧沙发上，电视的微弱光线照亮他的脸。他慢慢醒来，睁开眼睛看向电视，房间依然安静，只有屏幕闪烁的光变化。镜头保持远距离观察，营造孤独、疲惫和时间停滞的感觉。另外的朋友走到了大门口,0,延续昏暗室内夜景，一个人躺在旧沙发上，电视的微弱光线照亮他的脸。他慢慢醒来，睁开眼睛看向电视，房间依然安静，只有屏幕闪烁的光变化。镜头保持远距离观察，营造孤独、疲惫和时间停滞的感觉。另外的朋友走到了大门口,tasks.csv:final_text,2
P024,T2_middle_A05,A05,2,8,"{""camera_move"": 1, ""camera_rotate"": 4, ""move"": 3}",1,ap_P024_0247,linked_to_last_successful_generation,将人物B移到人物A的右侧，并保持人物之间的间距；人物B看向人物A；摄影机在较低的位置、大致正面，保持适中距离，从侧后方观察；把长椅放在画面中部。,夜晚，一个安静的现代室内空间，两个人坐在长桌一侧进行低声交谈。周围有大量空椅子，窗外一片漆黑。镜头保持远距离观察，随后缓慢靠近女性，捕捉她等待回应的表情，营造孤独和微妙关系张力。镜头从远景切换到女性侧脸，她停下讲话，等待对面的人回应，而对方仍沉默地看着窗外。,0,夜晚，一个安静的现代室内空间，两个人坐在长桌一侧进行低声交谈。周围有大量空椅子，窗外一片漆黑。镜头保持远距离观察，随后缓慢靠近女性，捕捉她等待回应的表情，营造孤独和微妙关系张力。镜头从远景切换到女性侧脸，她停下讲话，等待对面的人回应，而对方仍沉默地看着窗外。,tasks.csv:final_text,1
