item_id,participant_id,image_id,image_title,current_visual_state,final_expression
I053,P009,A05,长椅分神,长椅上人物分神，摄影机大致正对座位。,将男生移到女生右后方，并明显拉开他们之间的距离；让男生更靠近画面前方；让女生看向男生，摄影机在接近视线高度、大致正面，保持适中距离，朝向场景观察；把长椅放在画面中部。男生背对在吧台拿筷子
I054,P011,A05,长椅分神,长椅上人物分神，摄影机大致正对座位。,保持整个画面的氛围和镜头视角，画面中的女生放下筷子看向男生的背影，画面中的男生起身向画面的右侧走去，去除掉画面中坐着的的男生
I055,P015,D05,餐桌三人,餐桌三人围坐，间距和前后层次比较平均。,镜子中的两个男人相视戏谑一笑
I056,P007,E01,空剧院,过道深处可见空舞台，人物离舞台较远。,穿好衣服原地睡觉
I057,P014,D06,玻璃内外,玻璃内外同时可见人物，内外层次不够清楚。,有一个帅哥冲进来和男主角亲嘴
I058,P008,D04,画廊穿过,画廊中有人穿过，前景遮挡物不够明确。,男人抱起小狗举高高，女人抬头很高兴的看着男人和小狗
I059,P018,A02,博物馆展墙,博物馆展墙前，摄影机大致正对墙面。,一个男人的面孔出现在镜头前，一道路灯的环境光线打在他的脸上，光线狭窄，只能看清一部分的眼神和五官，他的表情带着神秘且严肃，面部光线自然一些，色温与环境一致，不要生硬
I060,P006,C03,庭院对望,庭院中两人隔空对望，距离和朝向已经成立。,汽车的行驶时遇到了障碍物司机急刹车内的两个人物向前冲去一物头发都随着刹车的方向飞起
I061,P012,C04,街角三人,街角三人横向排开，间距比较均匀。,画面右侧的女士头向左侧转，面向左侧，露出侧脸。右侧的女士同样面向左侧，露出侧脸。两张侧脸前后交叠
I062,P011,E04,公园长椅,公园长椅上的人物与周围空地的关系较为贴近。,这个画面中，右边坐着单人沙发的人站起来走到画面的左边位置，准备去屋内后面的饮料机，接一杯可乐，中间的沙发躺着的那个人姿势保持原来的不变
I063,P020,C04,街角三人,街角三人横向排开，间距比较均匀。,一艘船从海面驶过
I064,P008,E04,公园长椅,公园长椅上的人物与周围空地的关系较为贴近。,沙发上的红衣男子起身，去后面的零售柜拿饮料
I065,P002,C04,街角三人,街角三人横向排开，间距比较均匀。,面朝镜头的人把头转过去，面朝照片左边，露出侧脸，背对镜头的人不变
I066,P010,A02,博物馆展墙,博物馆展墙前，摄影机大致正对墙面。,主角在空无一人的街道上向前奔跑
I067,P004,E01,空剧院,过道深处可见空舞台，人物离舞台较远。,全黑的虚构室内环境，充满压抑感，远景镜头，只有一个人物全身出现在画面中心偏右的位置，水平中心线，下半图是人物的半身倒影，整体画面有点恐怖阴暗
I068,P014,E02,轮渡甲板,人物靠在轮渡甲板栏杆一侧，空间沿甲板横向展开。,男主角开始跳芭蕾
I069,P015,C04,街角三人,街角三人横向排开，间距比较均匀。,你应该是在原图的基础上继续连贯的生成，上一张图是海边的两个女孩，下一个视角切到金发女子的近景，她转过头继续看向画面外，表情严肃或有些警惕，随后镜头展示她正在注视的人或事物
I070,P006,E01,空剧院,过道深处可见空舞台，人物离舞台较远。,整体画面变亮女杂技演员正在凳子上方做准备
I071,P009,D01,柱后半隐,人物被柱子半遮，遮挡程度和前后关系不够明确。,女子微笑，把手放在车窗边缘，眼神不舍，表情自然，目光有神，视线向下一点
I072,P002,E05,前后景,前景与后景层次存在，但前后距离不够清楚。,一颗导弹砸在汽车上发生爆炸，不是火箭
I073,P018,C01,火车站窗边,窗边人物相对靠近，前后层次不够清楚。,远景拍摄这三个人，他们三人坐在一个独栋的小屋前面，周边是一片农田的大棚，傍晚夕阳时刻，三个人坐在椅子上
I074,P007,A05,长椅分神,长椅上人物分神，摄影机大致正对座位。,男生抢面吃，女生保护面条
I075,P017,C03,庭院对望,庭院中两人隔空对望，距离和朝向已经成立。,将人物B移到人物A的右后方，并明显拉开他们之间的距离；让人物A更靠近画面前方；人物A看向人物B；摄影机在较低的位置、偏左，保持适中距离，从侧后方观察；把院子放在画面左侧。
I076,P010,D06,玻璃内外,玻璃内外同时可见人物，内外层次不够清楚。,在繁华的街道十字路口，女生在前面生气过马路，向马路对面巨大的广告屏走去，男生在后面追她，两人之间有一段距离，男生靠近镜头和观众，女生则较远，两人保持直线关系
I077,P004,D02,门后身影,门后可见身影，门框遮挡不充分。,画面中有两个人物，一左一右分别占据画面两边，中景，只露出人物的胸腔以上，中间是一面镜子，镜子中反射出第三个人物，两个左右两边主要的人物正在向右边看去
I078,P019,D04,画廊穿过,画廊中有人穿过，前景遮挡物不够明确。,男人也做到了沙发上和女人和那只狗抱在了一起
I079,P011,D01,柱后半隐,人物被柱子半遮，遮挡程度和前后关系不够明确。,画面中的女生在画面的右侧，最后站在街边看向马路的尽头，男生开着蓝色的车子在街道尽头远去
I080,P014,C02,咖啡馆对坐,咖啡馆两人相对而坐，间距和朝向比较对称。,两个面对的人 下一年开始吵架 第三个人呆滞地看着
I081,P011,C03,庭院对望,庭院中两人隔空对望，距离和朝向已经成立。,画面中的男生转头，眼睛看向女生的脸，准备和她讲话，女生听到声音准备回头回应男生
I082,P012,E04,公园长椅,公园长椅上的人物与周围空地的关系较为贴近。,画面中央的自动售货机爆炸，露出火花和火星四射，以及中间有爆炸炫光和烟。画面中的两个人物站立在右侧，面朝自动售货机。黑色沙发仍然遮挡在自动售货机前方。其余不变
I083,P011,D02,门后身影,门后可见身影，门框遮挡不充分。,整个画面的背景是一个这个房间的墙，镜子在画面的左侧，镜子中能照到三个人，门在镜子的正对面，画面中是看不到门的，三个人站在房间的中间聊天，摄影机在较低的位置、大致正面，保持适中距离，从侧后方观察
I084,P005,A01,楼梯仰拍,楼梯场景，摄影机位置偏仰、距离较近。,女人向左走上台阶
I085,P010,C04,街角三人,街角三人横向排开，间距比较均匀。,两个女孩产生了争执，其中一人起身离开了同伴，转身远离海边，同伴站在海边看着她，表情复杂。两人都正面对着镜头
I086,P008,E02,轮渡甲板,人物靠在轮渡甲板栏杆一侧，空间沿甲板横向展开。,黑衣男子会突然跑到镜头前吓人一跳
I087,P005,A05,长椅分神,长椅上人物分神，摄影机大致正对座位。,男士右边的椅子又来了一位男士，坐在椅子上，背对着画面
I088,P003,D01,柱后半隐,人物被柱子半遮，遮挡程度和前后关系不够明确。,两人开始接吻
I089,P006,D06,玻璃内外,玻璃内外同时可见人物，内外层次不够清楚。,前景的男女演员，一边笑着鼓掌一边交流。后景中的人群也鼓掌，但整体人物排布不变。
I090,P017,D03,走廊走向,走廊中人物走向镜头或深处，构图较居中。,将人物B移到人物A的右前方，并明显拉开他们之间的距离；摄影机在接近视线高度、偏左，保持适中距离，从侧后方观察；把尽头的门放在画面中部。
I091,P004,C03,庭院对望,庭院中两人隔空对望，距离和朝向已经成立。,特写镜头，人物占据画面中较大部分，右下与左上的位置关系形成对立，情绪紧张矛盾，画面空间狭小闭塞，人物之间没有眼神交流都在沉默，仿佛下一秒就会迎来争吵。
I092,P013,D05,餐桌三人,餐桌三人围坐，间距和前后层次比较平均。,人物A需要露出外貌
I093,P019,A04,地铁来车,地铁来车，摄影机与车厢的距离和角度较为正面。,灰色西装的男人冲向提着棕色桶的穿着白色背心的男人，他们两个打起来，而位于右侧后方的那个男生则逃跑向画面右侧的外面只露出一只脚
I094,P011,C04,街角三人,街角三人横向排开，间距比较均匀。,请你生成一张 近景，一男一女在一个邮轮的甲板上站着靠近栏杆，男生在女生的后面，低头看向大海，女生看向镜头眼睛闭着
I095,P018,E02,轮渡甲板,人物靠在轮渡甲板栏杆一侧，空间沿甲板横向展开。,从背面拍摄这个黑衣男人，全景，有一个衣衫褴褛的人朝向他走来
I096,P012,C02,咖啡馆对坐,咖啡馆两人相对而坐，间距和朝向比较对称。,左侧人物向中间人物移动并伸出右手，右侧女生后退。车后的远处两个人物向左整体移动行走。右侧女生身体朝向左侧，头向摄像机中望去
I097,P020,D03,走廊走向,走廊中人物走向镜头或深处，构图较居中。,着奢华服饰的男主和女主带走一群朋友走过来
I098,P012,D01,柱后半隐,人物被柱子半遮，遮挡程度和前后关系不够明确。,车窗外的女士伸出右侧的手进车里，抚摸男士脸颊，眼睛朝下看。其余不变
I099,P014,D03,走廊走向,走廊中人物走向镜头或深处，构图较居中。,儿子娇羞可爱父亲风韵犹存
I100,P015,D03,走廊走向,走廊中人物走向镜头或深处，构图较居中。,一位贵族出现在镜头，两名服务生向贵族鞠躬
I101,P009,C04,街角三人,街角三人横向排开，间距比较均匀。,两个人站在甲板上，看向远方的大海，只留下背影，镜头拉远，让两个女孩靠近画面前方；摄影机在较低的位置、偏左，靠近场景，从侧后方观察；把海鸥放在画面左侧，并在远处增加几只飞行的海鸥。
I102,P003,C03,庭院对望,庭院中两人隔空对望，距离和朝向已经成立。,两个人开始吵架
I103,P019,A02,博物馆展墙,博物馆展墙前，摄影机大致正对墙面。,画面中出现的第二个人是一个美丽的波西米亚风的女子有着黑色的波浪长发，和图中穿风衣的男人拔枪相对。请维持原画面的原有色调和质感。
I104,P004,A04,地铁来车,地铁来车，摄影机与车厢的距离和角度较为正面。,一个第一人称透过地下室窗口向外看的视角，整体一个窗框镜头，被窗户的栏杆切分成很多块面，画面中有三个画面人物在互相泼水，穿着简陋，两个在画面右边，与左边的人物相对面的站着
I105,P004,A01,楼梯仰拍,楼梯场景，摄影机位置偏仰、距离较近。,空旷的室内别墅中，男主身后跟着一只狗狗在走动。远景的景别，主要表达环境空间，人物很小的出现在画面中心靠右的部分，整个画面中心点左边全是客厅空镜，一个楼梯，楼梯前还有一盆植物
I106,P002,A01,楼梯仰拍,楼梯场景，摄影机位置偏仰、距离较近。,人物消失，狗向镜头方向跑过来
I107,P001,D03,走廊走向,走廊中人物走向镜头或深处，构图较居中。,有一位盛装打扮的少女，穿白色的的巴洛克风格连衣裙，头戴皇冠。在走廊上奔跑，并且枪杀了右边换右边画面男人
I108,P018,A05,长椅分神,长椅上人物分神，摄影机大致正对座位。,镜头俯拍桌上的二人，拍摄他们的头顶
I109,P020,E01,空剧院,过道深处可见空舞台，人物离舞台较远。,穿衣服，手拿咖啡，另一只手拿手机
I110,P013,C04,街角三人,街角三人横向排开，间距比较均匀。,下一秒看起来两个人会有一些争执
I111,P008,A05,长椅分神,长椅上人物分神，摄影机大致正对座位。,小女孩生气的走了
I112,P016,C04,街角三人,街角三人横向排开，间距比较均匀。,两个女人面面相觑
I113,P008,C03,庭院对望,庭院中两人隔空对望，距离和朝向已经成立。,后座的男人回过头来低头抹泪
I114,P015,A01,楼梯仰拍,楼梯场景，摄影机位置偏仰、距离较近。,妈妈在笼舍为两只小狗换食物，两只小狗在脚边摇尾巴
I115,P020,E02,轮渡甲板,人物靠在轮渡甲板栏杆一侧，空间沿甲板横向展开。,走过来一个警察
I116,P004,D05,餐桌三人,餐桌三人围坐，间距和前后层次比较平均。,画面中只有两个人物，主要道具是镜子
I117,P002,D04,画廊穿过,画廊中有人穿过，前景遮挡物不够明确。,狗站在了桌子上，男人向后仰，看着狗，女人也看着狗，其他不变
I118,P006,A02,博物馆展墙,博物馆展墙前，摄影机大致正对墙面。,画面整体环境变亮右侧的阳光从画面上撒下一个男人背向镜头穿行在人群涌动的集市中
I119,P003,C01,火车站窗边,窗边人物相对靠近，前后层次不够清楚。,女人开始追逐镜头前的男人
I120,P019,C01,火车站窗边,窗边人物相对靠近，前后层次不够清楚。,左边的男人和图中间的女人开怀大笑起来，偶最右边的男生则把目光移向了中间的那个女生
